,count,unique,top,freq
1612,144.0,38.0,0.0,68.0
1613,142.0,33.0,0.0,69.0
1616,146.0,38.0,0.0,70.0
1621,144.0,35.0,0.0,68.0
1624,146.0,39.0,0.0,69.0
1625,142.0,35.0,0.0,68.0
1629,141.0,33.0,0.0,71.0
1631,142.0,33.0,0.0,70.0
1634,144.0,35.0,0.0,72.0
1638,140.0,36.0,0.0,69.0
1641,145.0,37.0,0.0,71.0
1644,144.0,37.0,0.0,69.0
1645,150.0,40.0,0.0,69.0
1648,140.0,34.0,0.0,71.0
1649,146.0,38.0,0.0,67.0
1655,140.0,35.0,0.0,70.0
1656,144.0,38.0,0.0,69.0
1659,144.0,37.0,0.0,68.0
1661,144.0,37.0,0.0,71.0
1663,142.0,36.0,0.0,67.0
1665,142.0,37.0,0.0,68.0
1667,142.0,36.0,0.0,69.0
1669,141.0,33.0,0.0,70.0
1673,142.0,35.0,0.0,71.0
1674,146.0,37.0,0.0,68.0
1680,142.0,35.0,0.0,68.0
1681,141.0,35.0,0.0,70.0
1682,149.0,40.0,0.0,67.0
1684,142.0,34.0,0.0,69.0
1687,144.0,34.0,0.0,71.0
1692,148.0,39.0,0.0,66.0
1693,144.0,38.0,0.0,71.0
1695,144.0,34.0,0.0,72.0
1696,140.0,35.0,0.0,70.0
1697,142.0,35.0,0.0,69.0
1705,145.0,36.0,0.0,69.0
1708,142.0,33.0,0.0,70.0
1710,147.0,38.0,0.0,67.0
1711,140.0,35.0,0.0,70.0
1713,142.0,35.0,0.0,69.0
1715,147.0,40.0,0.0,70.0
1722,148.0,38.0,0.0,71.0
1723,145.0,38.0,0.0,68.0
1730,147.0,39.0,0.0,66.0
1735,146.0,38.0,0.0,69.0
1741,145.0,35.0,0.0,69.0
1742,146.0,38.0,0.0,66.0
1745,139.0,34.0,0.0,73.0
1746,140.0,35.0,0.0,70.0
1747,148.0,38.0,0.0,69.0
1749,150.0,41.0,0.0,70.0
1750,144.0,37.0,0.0,67.0
1754,148.0,37.0,0.0,72.0
1762,140.0,34.0,0.0,70.0
1763,147.0,39.0,0.0,65.0
1764,155.0,45.0,0.0,62.0
1768,149.0,39.0,0.0,67.0
1769,141.0,35.0,0.0,72.0
